Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
3572/020A,2765 16TH ST,2765 16TH ST,94110,17160,N/A,,http://propertymap.sfplanning.org/?&search=3572/020A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,2765 16TH ST,,San Francisco,POINT (-122.414539 37.765362),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5596/038,1715 - 1745 CORTLAND AVE,1715 CORTLAND AVE,94110,20400,Retail Store,,http://propertymap.sfplanning.org/?&search=5596/038,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/13,Pending,1715 CORTLAND AVE,,San Francisco,POINT (-122.407389 37.7396),,,CA,94110,,,,,,,,,,,,,,,,,39.6,95.6,-16.5,-16.5,57.8,2.8,37.4,93.3,,31.7,81.7,-28.6,-28.6,47.8,2.3,31.7,81.7
4082/010,"Mission Language and Vocational School, Inc. (MLVS)",2929 19TH ST,94110,35072,N/A,,http://propertymap.sfplanning.org/?&search=4082/010,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,2929 19TH ST,,San Francisco,POINT (-122.411398 37.760398),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3572/012,2075 FOLSOM ST,2075 FOLSOM ST,94110,13115,N/A,,http://propertymap.sfplanning.org/?&search=3572/012,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,2075 FOLSOM ST,,San Francisco,POINT (-122.415186 37.764075),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5583/018,2725 OAKDALE AVE,2725 OAKDALE AVE,94124,47950,N/A,,http://propertymap.sfplanning.org/?&search=5583/018,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2725 OAKDALE AVE,,San Francisco,POINT (-122.403559 37.742108),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0287/026,445 Bush Street,445 BUSH ST,94108,47054,Office,,http://propertymap.sfplanning.org/?&search=0287/026,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,445 BUSH ST,,San Francisco,POINT (-122.404844 37.790654),,,CA,94108,,,,,,,81,58.9,142.6,-33.9,,237.5,,58.9,142.6,84,53,127.7,-37.4,-37.3,219.7,4.7,53.3,128,85,48,111.7,-38.1,-38.1,169.7,3.6,51.7,116.2
3725/093,Hearst Chronicle Building,901 MISSION ST,94103,178720,Office,,http://propertymap.sfplanning.org/?&search=3725/093,Complied,Complied,Complied,Complied,Complied,4/1/16,Upcoming,901 MISSION ST,39,San Francisco,POINT (-122.407118 37.782228),160,,CA,94103,12,,2190.41,,160,,35,181,429.2,16.5,,2424.57,,181,429.2,90,84,188.8,-45.6,-45.7,1096,6.1,83.6,190.1,92,78.7,175.7,-48.4,-48.4,973.5,5.4,80.5,177.6
5414/021,1790 Yosemite Ave,1790 YOSEMITE AVE,94124,20200,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=5414/021,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/13,Complied,1790 YOSEMITE AVE,,San Francisco,POINT (-122.395023 37.728749),,,CA,94124,,,,,,,,,,,,,,,,,41,79.1,-35.8,-35.7,56.1,2.8,38.2,76.1,54,28,58,-4.8,-4.8,37.9,1.9,32.5,62.7
0355/003,1212 Market/11 Grove,1212 MARKET ST,94102,24178,Office,,http://propertymap.sfplanning.org/?&search=0355/003,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - ENERGY STAR,1212 MARKET ST,,San Francisco,POINT (-122.415186 37.778383),,,CA,94102,,,,,,,,,,,,,,,,100,21.6,48.7,-75.8,-75.8,36.3,1.5,20.6,47.8,98,22.5,57.3,-63.4,-63.4,39.9,1.7,24.5,59.4
3526/006,540 9TH ST,540 9TH ST,94103,42346,Other - Mall,,http://propertymap.sfplanning.org/?&search=3526/006,N/A,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/14,Did Not Comply,540 9TH ST,,San Francisco,POINT (-122.407844 37.77074),,,CA,94103,,,,,,,,,,,,,,,,,14.8,46.5,-80.4,-80.4,51.1,1.2,14.8,46.5,,16.5,51.7,-78.2,-78.2,56.9,1.3,15.9,49.9
