Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
3570/047,121 CAPP ST,121 CAPP ST,94110,11752,N/A,,http://propertymap.sfplanning.org/?&search=3570/047,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,121 CAPP ST,,San Francisco,POINT (-122.41865 37.76468),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316/002,1100 Cesar Chavez,1100 CESAR CHAVEZ ST,94107,23360,Distribution Center,,http://propertymap.sfplanning.org/?&search=4316/002,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,1100 CESAR CHAVEZ ST,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,,47.1,85.1,-30.8,-30.9,40.2,1.7,47.8,85.8,,50.8,102.7,-16.6,-16.6,49.6,2.1,52.2,104.1
0293/007,180 Post Street,180 POST ST,94108,43659,Retail Store,,http://propertymap.sfplanning.org/?&search=0293/007,N/A,Complied,Complied,Complied,Complied,4/1/13,Pending,180 POST ST,,San Francisco,POINT (-122.404913 37.788737),,,CA,94108,,,,,,,65,50.1,155,-17.2,,189.96,,49.9,154.8,96,28,66.4,-61.9,-61.9,86.9,2,27.8,65.6,98,21.3,57.9,-65.6,-65.6,70.5,1.6,21.8,57.4
0135/008,1050 Sansome Street,1050 SANSOME ST,94111,35000,N/A,,http://propertymap.sfplanning.org/?&search=0135/008,Complied,Violation - Insufficient Data,Violation - Insufficient Data,Violation - Did Not Report,Violation - Did Not Report,4/1/16,Upcoming,1050 SANSOME ST,,San Francisco,POINT (-122.40251 37.799818),,,CA,94111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507/040,1455 Market Street,1455 Market Street,94103,1325000,Office,,http://propertymap.sfplanning.org/?&search=3507/040,Complied,Complied,Complied,Complied,Complied,4/1/14,Complied,1455 Market Street,63,San Francisco,POINT (-122.418411 37.775826),128.8,,CA,94103,-8.6,,12618.96,,127.6,,60,123.9,354.7,-7.2,,12086.14,,123.9,354.7,68,91.2,236.6,-16.1,-16.1,7940.5,6.8,90.4,235.9,,88.4,223.6,51,51,7605.4,6.5,88.4,223.6
0103/014A,1620 STOCKTON ST,1620 STOCKTON ST,94133,11446,N/A,,http://propertymap.sfplanning.org/?&search=0103/014A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1620 STOCKTON ST,,San Francisco,POINT (-122.409264 37.800793),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0260/009,358 PINE ST,358 PINE ST,94104,18312,N/A,,http://propertymap.sfplanning.org/?&search=0260/009,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,358 PINE ST,,San Francisco,POINT (-122.402016 37.791972),,,CA,94104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309/020,240 Stockton,234 STOCKTON ST,94108,48934,Office,,http://propertymap.sfplanning.org/?&search=0309/020,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,234 STOCKTON ST,,San Francisco,POINT (-122.406723 37.788158),,,CA,94108,,,,,,,94,40,98.9,-53.5,-53.5,131.7,3.1,40,98.9,94,38.2,97.2,-53.8,-53.8,126.7,2.9,38.2,97.3,53,66,194,-3.5,-3.5,258.3,5.3,66.9,195.2
0267/015,235 Pine,235 PINE ST,94104,222853,Office,,http://propertymap.sfplanning.org/?&search=0267/015,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - ENERGY STAR,235 PINE ST,97,San Francisco,POINT (-122.400374 37.792185),39.1,,CA,94104,-56.9,,761.41,,38.4,,97,35.8,94.6,-57.4,,703.3,,35.8,94.6,95,40,100.7,-54.3,-54.3,785.4,3.5,40,100.7,91,45.1,121.2,-45.6,-45.6,644.8,3.5,47.3,123.4
4304/002,80 Pier - M&R Building,80 Pier - M&R Building,94124,39000,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=4304/002,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/99,Municipal,80 Pier,,San Francisco,,,,CA,94124,,,,,,,4,19.7,61,140.2,142.1,67,1.7,,,1,29.7,92.4,266.7,268.1,101.3,2.6,,,1,30.9,96.2,302.7,302.7,97.9,2.5,,
7102/025,2850 ALEMANY BLVD,2850 ALEMANY BLVD,94112,23100,Social/Meeting Hall,,http://propertymap.sfplanning.org/?&search=7102/025,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,2850 ALEMANY BLVD,,San Francisco,POINT (-122.451323 37.712619),,,CA,94112,,,,,,,,,,,,,,,,,56.9,107.4,53.8,53.8,84.8,3.7,54.8,105.2,,53.9,105,50.4,50.4,81.4,3.5,56.4,107.6
1452/022,5644 GEARY BLVD,5644 GEARY BLVD,94121,13000,N/A,,http://propertymap.sfplanning.org/?&search=1452/022,N/A,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Complied,5644 GEARY BLVD,,San Francisco,POINT (-122.480197 37.780368),,,CA,94121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923/003,1504 Bryant,1504 BRYANT ST,94103,35000,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3923/003,N/A,Complied,Violation - Insufficient Data,Complied,Complied,4/1/14,Pending,1504 BRYANT ST,,San Francisco,POINT (-122.410721 37.767975),,,CA,94103,,,,,,,,,,,,,,,,,11.8,29.3,-76.2,-76.2,29.9,0.9,11.1,28.7,,10.7,27.5,-77.7,-77.7,27.6,0.8,10.9,27.7
3590/035,2205 MISSION ST,2205 MISSION ST,94110,18345,N/A,,http://propertymap.sfplanning.org/?&search=3590/035,N/A,N/A,Exempt,Exempt - New Construction,Exempt - New Construction,4/1/19,Upcoming,2205 MISSION ST,,San Francisco,POINT (-122.419335 37.76161),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803/005,China Basin,185 BERRY ST,94107,1038496,Office,,http://propertymap.sfplanning.org/?&search=3803/005,Complied,Complied,Complied,Violation - Did Not Report,Complied,4/1/13,Complied,185 BERRY ST,70,San Francisco,POINT (-122.393125 37.775958),142.5,,CA,94107,-13,,8799.85,,142.6,,65,134.9,386,-10.1,,9961.78,,135.5,389,,,,,,,,,,88,110.9,308.8,-32,-32,7870.7,8.5,110.9,308.8
3923/006,Hamms Building,1550 BRYANT ST,94103,191659,Office,,http://propertymap.sfplanning.org/?&search=3923/006,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - ENERGY STAR,1550 BRYANT ST,92,San Francisco,POINT (-122.410684 37.767586),37.6,,CA,94103,-48.8,,636.8,,37.4,,91,39.4,124.9,-46.3,,665.12,,39.1,124.6,93,36.1,107.9,-50.1,-50,590.9,3.1,35.7,107.4,95,33.7,104.5,-54.6,-54.6,523.2,2.7,33.1,101.9
1191/041,Dignity - SMMC Campus,450 Stanyan Street,94117,560728,Hospital (General Medical & Surgical),,http://propertymap.sfplanning.org/?&search=1191/041,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,450 Stanyan Street,,San Francisco,POINT (-122.454498 37.773859),,,CA,94117,,,,,,,,,,,,,,,,93,180.5,310.7,-27.6,-27.6,6299.2,11.2,180.5,310.7,76,199.9,370.7,-14.4,-14.4,7179.2,12.8,199.9,370.7
0018/005,100 NORTH POINT ST,100 NORTH POINT ST,94133,60000,Office,,http://propertymap.sfplanning.org/?&search=0018/005,Violation - Did Not Report,Violation - Did Not Report,Violation - Insufficient Data,Complied,Complied,4/1/14,Pending,100 NORTH POINT ST,,San Francisco,POINT (-122.409465 37.8071),,,CA,94133,,,,,,,,,,,,,,,,67,104.9,219.1,-18.5,-18.5,423.3,7.1,104.9,219.1,71,92.3,205.2,-22.4,-22.4,382.4,6.4,94.4,204.7
3763/016,Stillman St,77 STILLMAN ST,94107,21805,Other,,http://propertymap.sfplanning.org/?&search=3763/016,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,77 STILLMAN ST,,San Francisco,POINT (-122.395873 37.782163),,,CA,94107,,,,,,,,,,,,,,,,,30.8,77.6,-36.9,-36.9,49.1,2.3,30.9,77.6,,15.6,41.1,-66.6,-66.6,25.4,1.2,15.6,41.1
3924/008,LBRACC,201 Alabama ST,94103,72400,Other - Specialty Hospital,,http://propertymap.sfplanning.org/?&search=3924/008,Complied,Complied,Complied,Complied,Complied,4/1/14,Pending,201 Alabama ST,,San Francisco,POINT (-122.412517 37.767844),169.5,,CA,94103,-13.7,,866.64,,165.6,,,184.6,371.9,-5.8,,923.35,,185.2,373.9,,189.4,365.9,-6.1,-6.1,892.7,12.3,186.6,365.3,53,177.3,359.5,-1.7,-1.7,852.5,11.8,179.5,355.5
2694/001,4201 18TH ST,4201 18TH ST,94114,12000,Supermarket/Grocery Store,,http://propertymap.sfplanning.org/?&search=2694/001,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,4201 18TH ST,,San Francisco,POINT (-122.436422 37.760809),,,CA,94114,,,,,,,,,,,,,,,,2,364.6,1144.7,62.1,62.1,356.7,29.7,364.6,1144.7,3,345.5,1084.8,58.6,58.6,338,28.2,345.5,1084.8
4913/018,1315 EGBERT AVE,1315 EGBERT AVE,94124,10000,N/A,,http://propertymap.sfplanning.org/?&search=4913/018,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1315 EGBERT AVE,,San Francisco,POINT (-122.391278 37.721894),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784/008,550 TOWNSEND ST,550 TOWNSEND ST,94103,61312,N/A,,http://propertymap.sfplanning.org/?&search=3784/008,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,550 TOWNSEND ST,,San Francisco,POINT (-122.400574 37.772709),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293/004,100 Post,100 Post St,94108,43174,Office,,http://propertymap.sfplanning.org/?&search=0293/004,Exempt - SqFt Not Subject This Year,Complied,Complied,Complied,Complied,4/1/14,Complied,100 Post St,,San Francisco,POINT (-122.403964 37.788855),,,CA,94108,,,,,,,50,60.7,185.9,-1.1,,234.03,,59.5,184.5,38,66,183.7,13,13.1,251,5.8,66,183.7,43,53.9,168.9,6.9,6.9,189.6,4.4,53.9,168.9
3775/002,512 2nd Street,512 2ND ST,94107,15000,Office,,http://propertymap.sfplanning.org/?&search=3775/002,N/A,Complied,Complied,Exempt - Tenant Turnover,Complied,4/1/14,Complied,512 2ND ST,,San Francisco,POINT (-122.393426 37.782912),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,100,15.1,35.4,-75,-75,16,1.1,17.9,38.4
0349/001,101 GOLDEN GATE AVE,101 GOLDEN GATE AVE,94102,37868,N/A,,http://propertymap.sfplanning.org/?&search=0349/001,N/A,N/A,Exempt - New Construction,Exempt - New Construction,Exempt - New Construction,4/1/19,Upcoming,101 GOLDEN GATE AVE,,San Francisco,POINT (-122.41259 37.782027),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703/060,1089 MARKET ST,1089 MARKET ST,94103,13250,N/A,,http://propertymap.sfplanning.org/?&search=3703/060,N/A,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/21,Upcoming,1089 MARKET ST,,San Francisco,POINT (-122.412271 37.780687),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041/038,2310 MASON ST,2310 MASON ST,94133,13923,Office,,http://propertymap.sfplanning.org/?&search=0041/038,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,2310 MASON ST,,San Francisco,POINT (-122.413482 37.804994),,,CA,94133,,,,,,,,,,,,,,,,91,25.3,66.9,-46.7,-46.7,26.4,1.9,25.5,67.1,92,22.5,61.4,-49.3,-49.3,23.8,1.7,23.7,62.8
3935/004,200 KANSAS ST,200 KANSAS ST,94103,90637,Office,,http://propertymap.sfplanning.org/?&search=3935/004,Complied,Complied,Exempt,Exempt - Vacant,Complied,4/1/14,Exempt - Vacant,200 KANSAS ST,98,San Francisco,POINT (-122.403721 37.766755),18.2,,CA,94103,-64.5,,140.22,,18.2,,,,,,,,,,,,,,,,,,,,99,14.8,45.1,-70.1,-70.1,107.7,1.2,14.8,45.1
0696/024,Archdiocese of San Francisco Pastoral Center,9 PETER YORKE WAY,94109,47800,N/A,,http://propertymap.sfplanning.org/?&search=0696/024,Violation - Did Not Report,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,9 PETER YORKE WAY,,San Francisco,POINT (-122.423908 37.785952),,,CA,94109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018/004,"2300 Stockton Street, LLC",2340 STOCKTON ST,94133,59530,College/University,,http://propertymap.sfplanning.org/?&search=0018/004,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,2340 STOCKTON ST,,San Francisco,POINT (-122.410602 37.807398),118.3,,CA,94133,-3.4,,362.09,,117.1,,,109.8,221.9,5.6,,338.35,,106.6,218.5,,62.5,88.6,-66.3,-66.3,164.8,3.7,62.8,88.9,,33.4,56.8,-78.4,-78.4,92.1,2.1,37.5,61.1
0271/001C,445 Grant,445 Grant Ave,94108,24800,Office,,http://propertymap.sfplanning.org/?&search=0271/001C,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/15,Complied,445 Grant Ave,,San Francisco,POINT (-122.405645 37.790992),,,CA,94108,,,,,,,,,,,,,,,,29,67.9,191.5,25.3,25.2,139.1,5.6,68,191.7,31,63.1,181.9,22.5,22.5,122.1,4.9,65,184
3532/035,Valencia Street LLC,225 VALENCIA ST,94103,12080,N/A,,http://propertymap.sfplanning.org/?&search=3532/035,N/A,N/A,Complied,Exempt - Change of Ownership,Exempt - Change of Ownership,4/1/13,Complied,225 VALENCIA ST,,San Francisco,POINT (-122.422331 37.769387),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304/002,Pier 80 - Admin Bldg.,"80 Pier, Admin Bldg., 501 Cesar Chavez",94124,39000,Office,,http://propertymap.sfplanning.org/?&search=4304/002,N/A,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/99,Municipal,,,,,,,,,,,,,,,,,,,,,,,,26,64.2,145.3,28.9,29,194.8,4.7,,,37,51,124.9,14,14,152.3,3.7,,
3705/050,San Francisco Center,845 Market Street,None,850452,N/A,,http://propertymap.sfplanning.org/?&search=3705/050,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Insufficient Data,Violation - Insufficient Data,4/1/14,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0292/002,One Montgomery Owner LLC,1 Montgomery Street,94104,75880,Financial Office,,http://propertymap.sfplanning.org/?&search=0292/002,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/15,Pending,1 Montgomery Street,,San Francisco,POINT (-122.402058 37.789286),,,CA,94104,,,,,,,,,,,,,,,,79,42.5,114.8,-31.5,-31.5,250.2,3.3,42.4,114.7,78,39.3,114.6,-29.8,-29.8,236.9,3.1,39.3,114.6
0260/003,Shanghai Commercial Bank Building,231 SANSOME ST,94104,24444,Office,,http://propertymap.sfplanning.org/?&search=0260/003,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,231 SANSOME ST,,San Francisco,POINT (-122.401032 37.79247),,,CA,94104,,,,,,,,,,,,,,,,83,48.8,114.2,-36.2,-36.2,89.8,3.7,48.8,114.1,81,48.7,117.2,-32.9,-32.9,90.3,3.7,47.5,113.3
4343/002,2045 EVANS AVE,2045 EVANS AVE,94124,62988,Other,,http://propertymap.sfplanning.org/?&search=4343/002,Violation - Did Not Report,Complied,Violation - Did Not Report,Complied,Complied,4/1/13,Complied,2045 EVANS AVE,50,San Francisco,POINT (-122.396446 37.747907),103.1,,CA,94124,-0.1,,618.27,,103.1,,,,,,,,,,,,118.3,371.6,201.8,201.8,607.8,9.6,118.3,371.6,,135,423.9,244.3,244.3,693.3,11,135,423.9
3654/041,10379-Noe Valley,3950 24th Street,94114,25187,N/A,,http://propertymap.sfplanning.org/?&search=3654/041,N/A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,4/1/16,Pending,3950 24th Street,,San Francisco,POINT (-122.430832 37.751497),,,CA,94114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0834/027,San Francisco Conservatory of Music,50 OAK ST,94102,90589,College/University,,http://propertymap.sfplanning.org/?&search=0834/027,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Pending,50 OAK ST,,San Francisco,POINT (-122.420155 37.775312),,,CA,94102,,,,,,,,73.4,178.9,-31.9,-31.9,478.7,5.3,68.6,173.8,,73,177.1,-32.6,-32.6,475.1,5.2,70.7,174.7,,67.2,167.9,-36.1,-36.1,443.3,4.9,71.7,172.6
0239/012,456 Montgomery,456 MONTGOMERY ST,94104,270099,Office,,http://propertymap.sfplanning.org/?&search=0239/012,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,456 MONTGOMERY ST,95,San Francisco,POINT (-122.402894 37.793395),32.7,,CA,94104,-53.7,,718.5,,32.7,,92,35.6,119,-49.1,,784.25,,35.9,119.9,92,43.6,114.9,-49.5,-49.5,1036.9,3.8,43.7,115,94,37.1,104.3,-53.2,-53.2,791,2.9,38.5,106
3707/035,Sharon Building,39 NEW MONTGOMERY ST,94105,103861,Office,,http://propertymap.sfplanning.org/?&search=3707/035,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,39 NEW MONTGOMERY ST,,San Francisco,POINT (-122.401232 37.788036),53.1,,CA,94105,-26.8,,384.5,,53.1,,,48.1,111.5,-29.2,,353.19,,47.2,110.5,95,46.1,101.1,-55.5,-55.5,345.3,3.3,46.4,101.4,96,44.5,95.3,-57.1,-57.1,314.2,3,47,97.9
4343/004,180 Napoleon St,180-200 Napoleon St,94124,302330,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=4343/004,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,180 200 Napoleon St,,San Francisco,POINT (-122.39874 37.747044),,,CA,94124,,,,,,,,,,,,,,,,58,46.5,110.1,-9.8,-9.8,505.4,3.3,43.9,107.3,60,38,104.6,-11.9,-11.9,443.8,2.9,38,104.6
0342/001,Market-Turk Company 0342-001,950 MARKET ST,94102,24832,N/A,,http://propertymap.sfplanning.org/?&search=0342/001,N/A,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,950 MARKET ST,,San Francisco,POINT (-122.409327 37.78301),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0694/011,Concordia Argonaut - 1142 Van Ness,1142 VAN NESS AVE,94109,50540,N/A,,http://propertymap.sfplanning.org/?&search=0694/011,Complied,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Complied,1142 VAN NESS AVE,,San Francisco,POINT (-122.421442 37.786339),155.7,,CA,94109,296.6,,517.01,,149.9,,,150.2,270.8,285.1,,498.06,,150,271.2,,,,,,,,,,,,,,,,,,
3723/113,135 4th St,763 MISSION ST,94103,357659,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3723/113,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Complied,11/15/12,Pending,763 MISSION ST,,San Francisco,POINT (-122.403893 37.784708),,,CA,94103,,,,,,,,132.5,300.1,143.7,143.7,3299.8,9.2,128.8,296.2,,158.7,364.5,196.1,196.1,3976.8,11.1,154.7,360.3,,143.2,340.1,176.2,176.2,3643.1,10.2,149.5,346.7
4293/006,1405 INDIANA ST,1405 INDIANA ST,94107,12378,N/A,,http://propertymap.sfplanning.org/?&search=4293/006,N/A,N/A,Exempt - Tenant Turnover,Exempt - Tenant Turnover,Violation - Did Not Report,4/1/13,Did Not Comply,1405 INDIANA ST,,San Francisco,POINT (-122.390668 37.752481),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0738/007,Rodeway Inn,860 EDDY ST,94109,13976,Hotel,,http://propertymap.sfplanning.org/?&search=0738/007,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/13,Pending,860 EDDY ST,,San Francisco,POINT (-122.421895 37.782752),,,CA,94109,,,,,,,,,,,,,,,,58,67.3,115.2,-7.3,-7.3,58.4,4.2,67.5,115.5,61,63.4,109.5,-10.1,-10.1,55.3,4,65.1,112.7
3705/023,85 5TH ST,85 5TH ST,94103,69100,Hotel,,http://propertymap.sfplanning.org/?&search=3705/023,N/A,Violation - Did Not Report,Violation - Insufficient Data,Complied,Complied,4/1/13,Pending,85 5TH ST,,San Francisco,POINT (-122.406684 37.782886),,,CA,94103,,,,,,,,,,,,,,,,18,97.1,202.4,35,35,465.1,7,98.1,205.5,12,98.6,207.5,47.8,47.8,472.6,7.1,96.6,201.1
3738/011,301 Howard,301 HOWARD ST,94105,342355,Office,,http://propertymap.sfplanning.org/?&search=3738/011,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - ENERGY STAR,301 HOWARD ST,85,San Francisco,POINT (-122.394519 37.789718),47.4,,CA,94105,-38.8,,1258.71,,47.4,,86,57.4,140.8,-39.5,,1499.11,,56.6,140.8,82,60.8,148.2,-34.5,-34.5,1585.7,4.6,60.9,148.3,85,60.2,149.9,-37.7,-37.7,1498.4,4.4,61.8,151.6
0324/022,415 OFARRELL ST,415 OFARRELL ST,94102,24042,N/A,,http://propertymap.sfplanning.org/?&search=0324/022,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,415 OFARRELL ST,,San Francisco,POINT (-122.411795 37.78595),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735/010,620 Folsom Street,620 FOLSOM ST,94105,46451,Office,,http://propertymap.sfplanning.org/?&search=3735/010,N/A,Complied,Complied,Complied,Complied,11/15/12,Complied,620 FOLSOM ST,,San Francisco,POINT (-122.397364 37.785032),,,CA,94105,,,,,,,77,69.2,157.2,-29.2,,236,,69.8,159.2,87,59.4,130.8,-40.6,-40.6,189.8,4.1,59.6,131,72,72.9,166.3,-23,-23,236.6,5.1,72.9,166.3
0496/013,3110 OCTAVIA ST,3110 OCTAVIA ST,94123,11268,Hotel,,http://propertymap.sfplanning.org/?&search=0496/013,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,3110 OCTAVIA ST,,San Francisco,POINT (-122.429529 37.80092),,,CA,94123,,,,,,,,,,,,,,,,61,103.3,182.1,-9.7,-9.7,73.1,6.5,103.5,182.3,59,102.5,181.2,-8.1,-8.1,72.6,6.4,106,184.9
3582/085,429 CASTRO ST,429 CASTRO ST,94114,22243,N/A,,http://propertymap.sfplanning.org/?&search=3582/085,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,429 CASTRO ST,,San Francisco,POINT (-122.435104 37.761978),,,CA,94114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0936/001,2301 CHESTNUT ST,2301 CHESTNUT ST,94123,10906,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=0936/001,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,2301 CHESTNUT ST,,San Francisco,POINT (-122.441531 37.800144),,,CA,94123,,,,,,,,,,,,,,,,,314.2,670.1,444.5,444.4,243.6,22.3,314,669.5,,201.2,554.5,350.4,350.4,167.5,15.4,197,541.1
7295/022,2174-Stonestown Medical Building,595 BUCKINGHAM WAY,94132,36279,N/A,,http://propertymap.sfplanning.org/?&search=7295/022,Violation - Did Not Report,Violation - Did Not Report,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,595 BUCKINGHAM WAY,,San Francisco,POINT (-122.47621 37.73015),,,CA,94132,,,,,,,64,126.8,133.1,-93.8,,244.1,,126.8,133.1,,,,,,,,,,,,,,,,,,
0117/002,Fisher Dramov Building,1527 STOCKTON ST,94133,18600,Office,,http://propertymap.sfplanning.org/?&search=0117/002,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,1527 STOCKTON ST,,San Francisco,POINT (-122.409118 37.800082),,,CA,94133,,,,,,,,,,,,,,,,,194.5,348.9,135.8,135.6,236.8,12.7,194.6,349.1,,181.9,329.9,122.8,122.8,214.8,11.5,181.9,329.9
0209/005,838 GRANT AVE,838 GRANT AVE,94108,62370,Other,,http://propertymap.sfplanning.org/?&search=0209/005,Violation - Did Not Report,Violation - Did Not Report,Violation - Insufficient Data,Complied,Complied,11/15/12,Pending,838 GRANT AVE,,San Francisco,POINT (-122.406405 37.794758),,,CA,94108,,,,,,,,,,,,,,,,,19.2,55.3,-55.1,-55.1,93.5,1.5,19.3,55.4,,17.3,50.2,-59.3,-59.3,84.5,1.4,17.8,51.4
3572/021,2741 16th Street,2741 16TH ST,94110,19800,N/A,,http://propertymap.sfplanning.org/?&search=3572/021,N/A,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2741 16TH ST,,San Francisco,POINT (-122.414211 37.765382),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794/015,"Civitas Equity Fund I, LLC",101 TOWNSEND ST,94107,30000,N/A,,http://propertymap.sfplanning.org/?&search=3794/015,N/A,Violation - Did Not Report,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,101 TOWNSEND ST,,San Francisco,POINT (-122.390758 37.780441),,,CA,94107,,,,,,,91,29.2,74.8,-46.7,,68.36,,28.4,74,,,,,,,,,,,,,,,,,,
